,Climate Zone,City,U,SHGC,HeatingSource,CoolingSource,FanSource,TotalSource
0,4B,Albuquerque,0.01,0.01,242.1114,2691.03157,1806.4251299999999,4739.5680999999995
1,4B,Albuquerque,0.01,0.15000000000000002,523.3877200000001,2785.21815,1936.2721299999998,5244.878000000001
2,4B,Albuquerque,0.01,0.1,451.22584,2776.1922,1887.43699,5114.85503
3,4B,Albuquerque,0.01,0.25,520.3742000000001,3009.8851299999997,2033.0239800000002,5563.28331
4,4B,Albuquerque,0.01,0.2,533.46892,2888.96907,1984.7589,5407.19689
5,4B,Albuquerque,0.01,0.30000000000000004,517.19808,3141.2839599999998,2078.7871299999997,5737.26917
6,4B,Albuquerque,0.01,0.35000000000000003,511.57212000000004,3273.0944999999997,2123.22014,5907.886759999999
7,4B,Albuquerque,0.01,0.45,500.7538,3551.82217,2237.86554,6290.44151
8,4B,Albuquerque,0.01,0.4,506.03288000000003,3411.39739,2178.95934,6096.38961
9,4B,Albuquerque,0.01,0.55,489.81624000000005,3805.4671999999996,2350.64241,6645.92585
10,4B,Albuquerque,0.01,0.5,495.73488000000003,3680.3390299999996,2293.7947599999998,6469.86867
11,4B,Albuquerque,0.01,0.6000000000000001,484.74312000000003,3928.60016,2408.44016,6821.78344
12,4B,Albuquerque,0.01,0.65,480.67812000000004,4050.0546099999997,2466.93465,6997.66738
13,4B,Albuquerque,0.01,0.7000000000000001,476.59144000000003,4169.07047,2525.7458399999996,7171.407749999999
14,4B,Albuquerque,0.01,0.75,471.95192000000003,4285.71108,2584.8420599999995,7342.5050599999995
15,4B,Albuquerque,0.01,0.8500000000000001,463.50756,4527.70155,2703.8262499999996,7695.03536
16,4B,Albuquerque,0.01,0.8,468.23380000000003,4403.55515,2644.22331,7516.0122599999995
17,4B,Albuquerque,0.01,0.9500000000000001,453.74072,4786.6038,2824.29893,8064.64345
18,4B,Albuquerque,0.01,0.9,458.29352,4647.952539999999,2764.06259,7870.308649999999
19,4B,Albuquerque,0.05,0.01,278.52296,2635.22903,1790.6851399999998,4704.437129999999
20,4B,Albuquerque,0.05,0.15000000000000002,538.35776,2714.4990399999997,1916.7950799999999,5169.651879999999
21,4B,Albuquerque,0.05,0.1,474.67276000000004,2706.9615799999997,1869.7017899999998,5051.33613
22,4B,Albuquerque,0.05,0.25,528.7101600000001,2939.4510499999997,2011.4250399999999,5479.586249999999
23,4B,Albuquerque,0.05,0.2,543.39836,2820.94191,1963.92004,5328.26031
24,4B,Albuquerque,0.05,0.30000000000000004,525.6532800000001,3070.1214699999996,2057.21986,5652.99461
25,4B,Albuquerque,0.05,0.35000000000000003,521.77256,3200.72855,2101.11448,5823.615589999999
26,4B,Albuquerque,0.05,0.45,508.67784,3478.60113,2213.4796399999996,6200.758609999999
27,4B,Albuquerque,0.05,0.4,514.50976,3338.68307,2155.7135599999997,6008.90639
28,4B,Albuquerque,0.05,0.55,497.48012000000006,3732.3095,2324.22963,6554.019249999999
29,4B,Albuquerque,0.05,0.5,503.34456,3606.99131,2268.3320799999997,6378.667949999999
30,4B,Albuquerque,0.05,0.6000000000000001,490.98696,3855.66415,2380.91893,6727.57004
31,4B,Albuquerque,0.05,0.65,486.09812000000005,3976.99192,2438.3049699999997,6901.39501
32,4B,Albuquerque,0.05,0.7000000000000001,482.07648000000006,4095.3110399999996,2496.3244099999997,7073.7119299999995
33,4B,Albuquerque,0.05,0.75,477.43696000000006,4212.173339999999,2554.6288799999998,7244.239179999999
34,4B,Albuquerque,0.05,0.8500000000000001,468.63488,4448.74824,2672.02957,7589.412689999999
35,4B,Albuquerque,0.05,0.8,472.93836000000005,4329.38401,2613.1550399999996,7415.4774099999995
36,4B,Albuquerque,0.05,0.9500000000000001,458.7488,4707.33379,2790.88708,7956.96967
37,4B,Albuquerque,0.05,0.9,463.6268,4573.1796699999995,2731.1891299999997,7767.995599999999
38,4B,Albuquerque,0.15000000000000002,0.01,383.30240000000003,2543.4177,1765.53916,4692.25926
39,4B,Albuquerque,0.15000000000000002,0.15000000000000002,591.1052,2574.92935,1881.2613399999998,5047.295889999999
40,4B,Albuquerque,0.15000000000000002,0.1,551.11644,2553.74212,1836.6066399999997,4941.4652
41,4B,Albuquerque,0.15000000000000002,0.25,565.7396,2794.43412,1969.5256299999999,5329.69935
42,4B,Albuquerque,0.15000000000000002,0.2,584.67708,2680.1370899999997,1924.2692,5189.083369999999
43,4B,Albuquerque,0.15000000000000002,0.30000000000000004,558.0432,2917.94712,2014.27534,5490.26566
44,4B,Albuquerque,0.15000000000000002,0.35000000000000003,551.9186,3045.89392,2057.4098799999997,5655.2224
45,4B,Albuquerque,0.15000000000000002,0.45,536.31984,3318.92099,2163.72607,6018.9669
46,4B,Albuquerque,0.15000000000000002,0.4,544.62328,3181.06148,2108.4619199999997,5834.14668
47,4B,Albuquerque,0.15000000000000002,0.55,522.6180800000001,3570.60248,2269.85224,6363.0728
48,4B,Albuquerque,0.15000000000000002,0.5,529.263,3445.56932,2216.45662,6191.28894
49,4B,Albuquerque,0.15000000000000002,0.6000000000000001,515.10596,3693.3554,2324.00794,6532.469300000001
50,4B,Albuquerque,0.15000000000000002,0.65,507.08436000000006,3814.68317,2378.8603799999996,6700.627909999999
51,4B,Albuquerque,0.15000000000000002,0.7000000000000001,500.4502800000001,3932.0205199999996,2434.34622,6866.81702
52,4B,Albuquerque,0.15000000000000002,0.75,495.0953200000001,4047.8377100000002,2490.46546,7033.39849
53,4B,Albuquerque,0.15000000000000002,0.8500000000000001,483.96264,4280.35885,2603.8123899999996,7368.133879999999
54,4B,Albuquerque,0.15000000000000002,0.8,489.18752,4164.06661,2546.86973,7200.12386
55,4B,Albuquerque,0.15000000000000002,0.9500000000000001,473.27440000000007,4526.30807,2718.5528,7718.135270000001
56,4B,Albuquerque,0.15000000000000002,0.9,478.72692,4404.44191,2660.81839,7543.987219999999
