,Climate Zone,City,U,SHGC,HeatingSource,CoolingSource,FanSource,TotalSource
0,1A,Miami,0.01,0.01,1.38752,16382.637639999999,7333.093489999999,23717.118649999997
1,1A,Miami,0.01,0.15000000000000002,0.62872,17278.55027,7657.394289999999,24936.57328
2,1A,Miami,0.01,0.1,1.26828,17007.518409999997,7576.79414,24585.58083
3,1A,Miami,0.01,0.25,0.10840000000000001,17818.270409999997,7882.0296,25700.408409999996
4,1A,Miami,0.01,0.2,0.19512000000000002,17538.434289999997,7766.1490699999995,25304.778479999997
5,1A,Miami,0.01,0.30000000000000004,0.06504,18131.423369999997,8005.225899999999,26136.714309999996
6,1A,Miami,0.01,0.35000000000000003,0.054200000000000005,18433.46016,8135.737969999999,26569.252329999996
7,1A,Miami,0.01,0.45,0.054200000000000005,19072.78245,8439.67496,27512.511609999998
8,1A,Miami,0.01,0.4,0.04336,18752.91545,8283.700209999999,27036.65902
9,1A,Miami,0.01,0.55,0.054200000000000005,19680.751439999996,8734.300969999998,28415.106609999995
10,1A,Miami,0.01,0.5,0.054200000000000005,19371.050509999997,8590.04412,27961.14883
11,1A,Miami,0.01,0.6000000000000001,0.02168,19978.22775,8883.84671,28862.09614
12,1A,Miami,0.01,0.65,0.02168,20278.142649999998,9034.56424,29312.72857
13,1A,Miami,0.01,0.7000000000000001,0.02168,20565.389549999996,9181.798069999999,29747.209299999995
14,1A,Miami,0.01,0.75,0.01084,20863.530929999997,9329.41194,30192.953709999994
15,1A,Miami,0.01,0.8500000000000001,0.0,21460.70045,9586.509,31047.209450000002
16,1A,Miami,0.01,0.8,0.0,21164.490939999996,9464.61117,30629.102109999996
17,1A,Miami,0.01,0.9500000000000001,0.0,22083.77603,9833.408319999999,31917.18435
18,1A,Miami,0.01,0.9,0.0,21769.419609999997,9710.212019999999,31479.631629999996
19,1A,Miami,0.05,0.01,1.27912,16339.439759999997,7320.108789999999,23660.827669999995
20,1A,Miami,0.05,0.15000000000000002,0.62872,17230.85525,7659.61119,24891.09516
21,1A,Miami,0.05,0.1,1.3008,16960.33011,7567.134789999999,24528.7657
22,1A,Miami,0.05,0.25,0.10840000000000001,17781.62822,7882.631329999999,25664.36795
23,1A,Miami,0.05,0.2,0.20596,17513.54167,7765.64235,25279.38998
24,1A,Miami,0.05,0.30000000000000004,0.07588000000000002,18081.891489999998,8005.637609999999,26087.604979999996
25,1A,Miami,0.05,0.35000000000000003,0.06504,18383.35822,8135.072899999999,26518.49616
26,1A,Miami,0.05,0.45,0.054200000000000005,19025.72083,8438.09146,27463.866489999997
27,1A,Miami,0.05,0.4,0.06504,18701.23001,8280.91325,26982.2083
28,1A,Miami,0.05,0.55,0.054200000000000005,19626.12069,8730.08886,28356.26375
29,1A,Miami,0.05,0.5,0.054200000000000005,19321.13859,8586.845449999999,27908.038239999994
30,1A,Miami,0.05,0.6000000000000001,0.03252,19936.106649999998,8880.07798,28816.217149999997
31,1A,Miami,0.05,0.65,0.02168,20216.92454,9026.48839,29243.434610000004
32,1A,Miami,0.05,0.7000000000000001,0.01084,20513.22906,9175.559079999999,29688.79898
33,1A,Miami,0.05,0.75,0.01084,20807.95008,9319.87927,30127.840189999995
34,1A,Miami,0.05,0.8500000000000001,0.0,21414.208889999998,9566.493559999999,30980.702449999997
35,1A,Miami,0.05,0.8,0.0,21107.57995,9444.72241,30552.30236
36,1A,Miami,0.05,0.9500000000000001,0.0,22018.37748,9810.76427,31829.14175
37,1A,Miami,0.05,0.9,0.0,21709.84834,9687.31461,31397.162949999998
38,1A,Miami,0.15000000000000002,0.01,1.6260000000000001,16242.307869999999,7293.82269,23537.756559999998
39,1A,Miami,0.15000000000000002,0.15000000000000002,0.69376,17144.8712,7660.276260000001,24805.841220000002
40,1A,Miami,0.15000000000000002,0.1,1.34416,16864.81339,7542.68555,24408.8431
41,1A,Miami,0.15000000000000002,0.25,0.22764,17667.96459,7880.41443,25548.60666
42,1A,Miami,0.15000000000000002,0.2,0.31436,17420.051829999997,7768.0492699999995,25188.415459999997
43,1A,Miami,0.15000000000000002,0.30000000000000004,0.17344,17979.6924,8006.080989999999,25985.946829999997
44,1A,Miami,0.15000000000000002,0.35000000000000003,0.1626,18279.63897,8135.737969999999,26415.539539999998
45,1A,Miami,0.15000000000000002,0.45,0.1626,18907.52839,8435.81122,27343.50221
46,1A,Miami,0.15000000000000002,0.4,0.15176000000000003,18601.15281,8280.56488,26881.86945
47,1A,Miami,0.15000000000000002,0.55,0.15176000000000003,19510.84189,8722.8681,28233.86175
48,1A,Miami,0.15000000000000002,0.5,0.1626,19194.743619999997,8579.30799,27774.21421
49,1A,Miami,0.15000000000000002,0.6000000000000001,0.13008,19801.19245,8869.05682,28670.379349999996
50,1A,Miami,0.15000000000000002,0.65,0.10840000000000001,20099.58719,9017.84248,29117.53807
51,1A,Miami,0.15000000000000002,0.7000000000000001,0.08672,20381.73522,9162.827739999999,29544.649679999995
52,1A,Miami,0.15000000000000002,0.75,0.07588000000000002,20683.011929999997,9285.04227,29968.130079999995
53,1A,Miami,0.15000000000000002,0.8500000000000001,0.04336,21272.99236,9518.03846,30791.07418
54,1A,Miami,0.15000000000000002,0.8,0.04336,20970.923899999998,9400.986139999999,30371.9534
55,1A,Miami,0.15000000000000002,0.9500000000000001,0.04336,21882.101469999998,9759.33219,31641.47702
56,1A,Miami,0.15000000000000002,0.9,0.04336,21577.65776,9640.75971,31218.460829999996
57,1A,Miami,0.1,0.01,1.4092000000000002,16290.44627,7307.72582,23599.581290000002
58,1A,Miami,0.1,0.15000000000000002,0.62872,17188.5758,7658.81944,24848.02396
59,1A,Miami,0.1,0.1,1.28996,16907.789579999997,7554.2451,24463.324639999995
60,1A,Miami,0.1,0.25,0.14092000000000002,17711.700859999997,7878.89427,25590.73605
