,Climate Zone,City,U,SHGC,HeatingSource,CoolingSource,FanSource,TotalSource
0,4B,Albuquerque,0.01,0.01,189.91783,457.88486,242.59219999999996,890.3948899999999
1,4B,Albuquerque,0.01,0.15000000000000002,140.47586,582.82301,340.51583999999997,1063.8147099999999
2,4B,Albuquerque,0.01,0.1,157.90851,540.63857,305.45715,1004.00423
3,4B,Albuquerque,0.01,0.25,96.6274,661.6179699999999,404.4259,1162.6712699999998
4,4B,Albuquerque,0.01,0.2,118.91785000000002,621.9671299999999,372.69256,1113.57754
5,4B,Albuquerque,0.01,0.30000000000000004,79.00878,702.0288899999999,435.96921999999995,1217.0068899999999
6,4B,Albuquerque,0.01,0.35000000000000003,65.87112,740.50794,467.73422999999997,1274.11329
7,4B,Albuquerque,0.01,0.45,49.21662,821.48813,534.49459,1405.1993400000001
8,4B,Albuquerque,0.01,0.4,56.960210000000004,780.72884,500.67103,1338.36008
9,4B,Albuquerque,0.01,0.55,39.88465,901.4548799999999,600.5898799999999,1541.9294099999997
10,4B,Albuquerque,0.01,0.5,44.19876,860.98062,567.49473,1472.67411
11,4B,Albuquerque,0.01,0.6000000000000001,36.05664,939.6488999999999,631.97485,1607.68039
12,4B,Albuquerque,0.01,0.65,32.71558,977.6528999999999,661.6813099999999,1672.04979
13,4B,Albuquerque,0.01,0.7000000000000001,29.80557,1014.1050699999998,691.3244299999999,1735.2350699999997
14,4B,Albuquerque,0.01,0.75,27.24159,1052.14074,721.0942299999999,1800.47656
15,4B,Albuquerque,0.01,0.8500000000000001,23.054160000000003,1125.7101499999999,780.7921799999999,1929.5564899999997
16,4B,Albuquerque,0.01,0.8,25.01195,1088.24454,750.8006899999999,1864.0571799999998
17,4B,Albuquerque,0.01,0.9500000000000001,19.70226,1200.26133,840.61681,2060.5804
18,4B,Albuquerque,0.01,0.9,21.30233,1162.85906,810.6886599999999,1994.85005
19,4B,Albuquerque,0.05,0.01,218.65033,448.35218999999995,231.53937,898.54189
20,4B,Albuquerque,0.05,0.15000000000000002,161.64770000000004,579.5926699999999,324.33246999999994,1065.5728399999998
21,4B,Albuquerque,0.05,0.1,181.11552,532.8160799999999,290.44557,1004.3771699999999
22,4B,Albuquerque,0.05,0.25,111.00233,659.9711299999999,387.22909,1158.20255
23,4B,Albuquerque,0.05,0.2,136.57922,619.1485,355.84412,1111.57184
24,4B,Albuquerque,0.05,0.30000000000000004,90.61823000000001,700.95211,418.36069999999995,1209.93104
25,4B,Albuquerque,0.05,0.35000000000000003,75.60801000000001,742.81985,449.80901,1268.23687
26,4B,Albuquerque,0.05,0.45,56.55659,823.1349700000001,516.37935,1396.0709100000001
27,4B,Albuquerque,0.05,0.4,65.06132,783.42079,482.80914999999993,1331.29126
28,4B,Albuquerque,0.05,0.55,45.729760000000006,899.14297,580.41609,1525.2888200000002
29,4B,Albuquerque,0.05,0.5,50.70086,861.55068,548.9994499999999,1461.25099
30,4B,Albuquerque,0.05,0.6000000000000001,41.319790000000005,936.6402499999999,610.15422,1588.1142599999998
31,4B,Albuquerque,0.05,0.65,37.396770000000004,973.8841699999999,639.5756499999999,1650.8565899999999
32,4B,Albuquerque,0.05,0.7000000000000001,33.884820000000005,1010.05131,668.99708,1712.9332100000001
33,4B,Albuquerque,0.05,0.75,30.78309,1044.44493,698.41851,1773.64653
34,4B,Albuquerque,0.05,0.8500000000000001,25.52101,1117.38094,757.51473,1900.4166799999998
35,4B,Albuquerque,0.05,0.8,28.016550000000002,1079.78865,727.93495,1835.74015
36,4B,Albuquerque,0.05,0.9500000000000001,21.424550000000004,1192.02713,816.83264,2030.2843199999998
37,4B,Albuquerque,0.05,0.9,23.338130000000003,1155.9233299999999,787.2528599999999,1966.5143199999998
38,4B,Albuquerque,0.15000000000000002,0.01,318.35742000000005,428.93847999999997,213.74082999999996,961.03673
39,4B,Albuquerque,0.15000000000000002,0.15000000000000002,218.54620000000003,563.25095,295.51277,1077.30992
40,4B,Albuquerque,0.15000000000000002,0.1,245.65247000000002,514.3208,265.42627,1025.39954
41,4B,Albuquerque,0.15000000000000002,0.25,147.99278,648.12655,353.94392,1150.06325
