,Property Type,Climate Zone,City,HeatingSource,CoolingSource,FanSource,TotalSource
0,HotelLarge,4B,Albuquerque,334.72836000000007,2632.15704,1805.6333799999998,4772.51878
1,HotelLarge,3A,Atlanta,356.00728000000004,4478.07466,1811.4923299999998,6645.57427
2,HotelLarge,5A,Buffalo,550.71536,2002.39909,1769.87795,4322.9924
3,HotelLarge,5B,Denver,392.03944000000007,2088.66817,1749.1974400000001,4229.90505
4,HotelLarge,3B,ElPaso,314.90200000000004,3844.45297,1867.3265399999998,6026.68151
5,HotelLarge,8,Fairbanks,3138.451,845.0506099999999,1620.64891,5604.150519999999
6,HotelLarge,6B,GreatFalls,885.8556400000001,1500.7462899999998,1639.4292199999998,4026.03115
7,HotelLarge,7,InternationalFalls,1981.3460400000001,1555.8520899999999,1666.7287599999997,5203.92689
8,HotelLarge,1A,Miami,4.693720000000001,9271.42417,1866.40811,11142.526
9,HotelLarge,4A,NewYork,402.71684,3104.1983899999996,1798.7926599999998,5305.70789
10,HotelLarge,6A,Rochester,1218.9038,2049.52405,1675.31133,4943.7391800000005
11,HotelLarge,3C,SanDiego,333.059,2416.89605,1804.5565999999997,4554.5116499999995
12,HotelLarge,4C,Seattle,272.084,1317.06029,1710.59171,3299.736
13,HotelLarge,2A,Tampa,167.53220000000002,7556.39866,1889.59055,9613.52141
14,HotelLarge,2B,Tucson,168.74627999999998,5175.226369999999,1916.5100499999999,7260.4827
15,HotelSmall,4B,Albuquerque,128.25137999999998,784.5609099999999,906.33206,1819.1443499999998
16,HotelSmall,3A,Atlanta,164.78685,977.52622,741.93309,1884.24616
17,HotelSmall,5A,Buffalo,609.51721,535.50803,674.3809799999999,1819.4062199999998
18,HotelSmall,5B,Denver,300.86091999999996,631.46813,889.9586699999999,1822.2877199999998
19,HotelSmall,3B,ElPaso,65.12861,1006.1875699999998,852.08135,1923.3975299999997
20,HotelSmall,8,Fairbanks,1538.13595,323.76241,725.90807,2587.80643
21,HotelSmall,6B,GreatFalls,592.08984,482.6508,819.6829399999999,1894.42358
22,HotelSmall,7,InternationalFalls,1176.8771199999999,439.35790999999995,726.6998199999999,2342.9348499999996
23,HotelSmall,1A,Miami,1.77352,1723.44973,769.3593099999999,2494.58256
24,HotelSmall,4A,NewYork,357.76187999999996,722.58272,687.8090599999999,1768.15366
25,HotelSmall,6A,Rochester,988.0810899999999,525.21528,699.3369399999999,2212.63331
26,HotelSmall,3C,SanDiego,16.40506,781.0772099999999,752.60588,1550.08815
27,HotelSmall,4C,Seattle,170.94062,519.3246599999999,722.10767,1412.37295
28,HotelSmall,2A,Tampa,22.75075,1417.13749,754.63276,2194.5209999999997
29,HotelSmall,2B,Tucson,22.07654,1198.0761,891.4154900000001,2111.56813
30,OfficeLarge,4B,Albuquerque,1282.0359600000002,6504.099569999999,7799.90929,15586.04482
31,OfficeLarge,3A,Atlanta,204.77844000000002,8025.46303,6643.95429,14874.195759999999
32,OfficeLarge,5A,Buffalo,863.6228000000001,3931.5138,6197.2489399999995,10992.38554
33,OfficeLarge,5B,Denver,2352.54016,4833.38039,7496.03564,14681.95619
34,OfficeLarge,3B,ElPaso,618.7472,8689.89963,7601.62342,16910.27025
35,OfficeLarge,8,Fairbanks,3410.264,2150.80471,6004.695339999999,11565.764049999998
36,OfficeLarge,6B,GreatFalls,4227.5458,3429.5443,6914.796129999999,14571.886229999998
37,OfficeLarge,7,InternationalFalls,2553.81728,3435.84663,6259.607169999999,12249.271079999999
38,OfficeLarge,1A,Miami,2.6991600000000004,17324.72513,7597.5063199999995,24924.93061
39,OfficeLarge,4A,NewYork,465.44792,5621.99506,6164.343809999999,12251.786789999998
