,Unnamed: 0,Climate Zone,City,WindowOrientation,U,SHGC,Wall_U,HeatingSite,HeatingSource,CoolingSite,CoolingSource,TotalSource
2280,1140,1A,Honolulu,2021,0.01,0.01,0.493,0.028461,0.030851724,14.79972,46.87071324,46.90156496
2281,1141,1A,Honolulu,2021,0.01,0.15,0.493,0.028461,0.030851724,17.987352,56.96594378,56.99679551
2282,1142,1A,Honolulu,2021,0.01,0.1,0.493,0.028461,0.030851724,16.867886,53.42059496,53.45144669
2283,1143,1A,Honolulu,2021,0.01,0.25,0.493,0.028461,0.030851724,19.960648,63.21537222,63.24622394
2284,1144,1A,Honolulu,2021,0.01,0.2,0.493,0.028461,0.030851724,18.983487,60.12070333,60.15155505
2285,1145,1A,Honolulu,2021,0.01,0.3,0.493,0.018974,0.020567816,20.928322,66.27999577,66.30056359
2286,1146,1A,Honolulu,2021,0.01,0.35,0.493,0.018974,0.020567816,21.886509,69.314574,69.33514182
2287,1147,1A,Honolulu,2021,0.01,0.45,0.493,0.018974,0.020567816,23.897753,75.68418375,75.70475157
2288,1148,1A,Honolulu,2021,0.01,0.4,0.493,0.018974,0.020567816,22.882644,72.46933355,72.48990136
2289,1149,1A,Honolulu,2021,0.01,0.55,0.493,0.018974,0.020567816,25.814127,81.75334021,81.77390802
2290,1150,1A,Honolulu,2021,0.01,0.5,0.493,0.018974,0.020567816,24.85594,78.71876198,78.7393298
2291,1151,1A,Honolulu,2021,0.01,0.6,0.493,0.018974,0.020567816,26.772314,84.78791844,84.80848625
2292,1152,1A,Honolulu,2021,0.01,0.65,0.493,0.018974,0.020567816,27.739988,87.852542,87.87310981
2293,1153,1A,Honolulu,2021,0.01,0.7,0.493,0.018974,0.020567816,28.726636,90.97725621,90.99782403
2294,1154,1A,Honolulu,2021,0.01,0.75,0.493,0.018974,0.020567816,29.69431,94.04187977,94.06244759
2295,1155,1A,Honolulu,2021,0.01,0.85,0.493,0.018974,0.020567816,31.620171,100.1410816,100.1616494
