,Climate Zone,City,U,SHGC,HeatingSource,CoolingSource,FanSource,TotalSource
0,4B,Albuquerque,0.01,0.01,116.77514999999998,784.62425,901.92993,1803.32933
1,4B,Albuquerque,0.01,0.15000000000000002,100.68084,837.8931899999999,928.4060499999998,1866.9800799999998
2,4B,Albuquerque,0.01,0.1,105.91893,818.6695,918.7150299999998,1843.3034599999999
3,4B,Albuquerque,0.01,0.25,91.74735,873.42693,945.5711899999999,1910.7454699999998
4,4B,Albuquerque,0.01,0.2,96.06615999999998,855.62839,936.95695,1888.6515
5,4B,Albuquerque,0.01,0.30000000000000004,87.74524,891.44716,954.2171,1933.4095
6,4B,Albuquerque,0.01,0.35000000000000003,83.99649,909.49906,962.89468,1956.39023
7,4B,Albuquerque,0.01,0.45,76.55234,948.48483,980.4715299999999,2005.5086999999999
8,4B,Albuquerque,0.01,0.4,80.19523999999998,928.62774,971.5405899999998,1980.36357
9,4B,Albuquerque,0.01,0.55,70.38583,985.9821099999999,998.39675,2054.76469
10,4B,Albuquerque,0.01,0.5,73.35282000000001,967.23347,989.43414,2030.02043
11,4B,Albuquerque,0.01,0.6000000000000001,67.57718999999999,1004.8891,1007.3910299999999,2079.85732
12,4B,Albuquerque,0.01,0.65,64.93773999999999,1023.8910999999999,1016.35364,2105.18248
13,4B,Albuquerque,0.01,0.7000000000000001,62.44579999999999,1042.9247699999999,1025.3795899999998,2130.7501599999996
14,4B,Albuquerque,0.01,0.75,60.12305,1062.05345,1034.37387,2156.55037
15,4B,Albuquerque,0.01,0.8500000000000001,55.82592,1100.0891199999999,1052.3941,2208.30914
16,4B,Albuquerque,0.01,0.8,57.895309999999995,1081.08712,1043.3998199999999,2182.3822499999997
17,4B,Albuquerque,0.01,0.9500000000000001,51.98301,1138.2197999999999,1070.446,2260.6488099999997
18,4B,Albuquerque,0.01,0.9,53.862379999999995,1119.12279,1061.42005,2234.4052199999996
19,4B,Albuquerque,0.05,0.01,125.05355999999999,775.81999,901.77158,1802.6451299999999
20,4B,Albuquerque,0.05,0.15000000000000002,107.82912,829.1522699999999,928.3427099999999,1865.3240999999998
21,4B,Albuquerque,0.05,0.1,113.41557999999998,809.9919199999999,918.58835,1841.9958499999998
22,4B,Albuquerque,0.05,0.25,98.30389,864.43265,945.4445099999998,1908.1810499999997
23,4B,Albuquerque,0.05,0.2,102.88690000000001,846.72912,936.8619399999999,1886.4779599999997
24,4B,Albuquerque,0.05,0.30000000000000004,94.01675,882.2628599999999,954.0587499999999,1930.3383599999997
25,4B,Albuquerque,0.05,0.35000000000000003,90.04630999999999,900.21975,962.67299,1952.93905
